source_platform,app_id,country,review_id,review_title,review_text,rating,review_date,user_name,collected_at
Apple App Store,570060128,us,14072802739,not fair,"I get the “you get 3x XP tomorrow” messages all the time but I hardly ever get the actual 3x XP because I can’t practice early in the day…
This is unfair, why am I being punished for not having a schedule where I can practice early in the day?
I usually do it before bed.",1,2026-05-16 17:02:00-07:00,W1w1w1x2,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072775491,A Wonderful App,"This app is so well thought out and effective. Duos emotional manipulation tugs at the heart strings to get you practicing your language! I recommend having a widget, and having friend streaks. Duo lingo makes learning a language fun and attainable. I’ve got an 105 day streak and counting! 
<3",5,2026-05-16 16:50:26-07:00,julz music,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072719097,"Wonderful, just wonderful amazing","It was great I mean it is green great but the superduper thing goes. Leaving me online on 30 day job. You know what it’s actually deserving a five star I don’t know where you’re. This is actually amazing so I’m giving it a five star, but I can’t change my review so yeah.mya Mya",4,2026-05-16 16:26:27-07:00,Miney mouse 🐭,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072712938,Best learning experience ever,Ty,5,2026-05-16 16:23:51-07:00,TyDaBoi64,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072707510,Chess 🤦‍♂️,"Duolingo is good in language and that but, as a good chess player, the chess course starts to not teach you about chess, but teach you to get most material. Lot of the moves that they want you to di, should not be played in a game of chess. Maybe use the course as the puzzle challenge and maybe revision it?",3,2026-05-16 16:21:34-07:00,Pizzaage1,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072698179,Es genial,Lo mejor que puedes tener para aprender idiomas,3,2026-05-16 16:17:36-07:00,Aprender   idiomas =Duolingo,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072696517,It’s good,I have nothing to say it’s just good,5,2026-05-16 16:16:55-07:00,nadie.,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072690910,Was better before updates,"I’ve been using Duolingo since 2020 and I enjoy having a free language learning app. Ever since they switched from “hearts” to “energy” the app has been going downhill and I have been using it less. I can’t get through a lesson without running out of “energy” even if I get no answers wrong. At that point, it is not actually a free app!",2,2026-05-16 16:14:32-07:00,Nublado y lluvia,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072673869,Grating Noise When Selecting answers.,The developers decided to add a weird ticking noise that causes me migraines when selecting vocabulary to build an answer. There is no option to turn this noise off without turning off sound. I have submitted a report with no response regarding this issue.,1,2026-05-16 16:07:19-07:00,Razulebismarck,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072667830,Deleting & notifications,It won’t let me delete app and continually makes notifications,1,2026-05-16 16:04:44-07:00,gabkamluk,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072665858,Kept bothering me,Bro let me do my own thing. App deleted,1,2026-05-16 16:03:54-07:00,MikePittsFanGirl,2026-05-20T03:14:33.977405+00:00
